@RELATION idea1test

@ATTRIBUTE league	{0,1}
@ATTRIBUTE winpercentage 	Continuous
@ATTRIBUTE battavg 	Continuous
@ATTRIBUTE ops	Continuous
@ATTRIBUTE era	Continuous
@ATTRIBUTE whip	Continuous
@ATTRIBUTE pb	Continuous
@ATTRIBUTE fpct	Continuous
@ATTRIBUTE won 	Continuous

@DATA
0,0.673,0.263,0.33,3.46,1.26,13,0.98,1
1,0.604,0.27,0.745,3.78,1.31,23,0.977,0
1,0.624,0.278,0.341,3.79,1.3,13,0.977,0
0,0.593,0.267,0.337,3.7,1.27,7,0.979,1
1,0.611,0.251,0.666,2.85,1.18,15,0.976,1
0,0.646,0.252,0.711,3.07,1.18,9,0.983,0
1,0.574,0.272,0.716,3.43,1.26,19,0.973,1
0,0.611,0.253,0.704,3.15,1.21,12,0.982,0
1,0.599,0.245,0.647,2.81,1.12,9,0.98,1
0,0.63,0.254,0.722,3.14,1.22,16,0.973,0
0,0.606,0.258,0.733,3.32,1.21,23,0.981,1
1,0.586,0.256,0.675,2.62,1.13,11,0.98,0
1,0.627,0.263,0.699,3.05,1.19,10,0.977,1
0,0.568,0.255,0.716,3.36,1.22,8,0.976,0
1,0.599,2.49,0.644,2.49,1.12,10,0.979,0
0,0.636,2.71,0.692,2.71,1.12,12,0.983,1
1,0.617,2.99,0.662,2.99,1.18,7,0.979,1
0,0.673,2.83,0.756,2.83,1.15,14,0.983,0
0,0.667,3.15,0.745,3.15,1.21,12,0.98,1
1,0.63,3.71,0.772,3.71,1.36,10,0.975,0
1,0.599,3.31,0.746,3.31,1.3,17,0.978,1
0,0.639,3,0.745,3,1.18,16,0.981,0
1,0.617,3.21,0.71,3.21,1.24,5,0.981,0
0,0.6,2.58,0.672,2.58,1.12,13,0.978,1
1,0.509,3.27,0.653,3.27,1.25,7,0.98,0
0,0.58,3.29,0.722,3.29,1.24,9,0.978,1
1,0.63,2.98,0.743,2.98,1.18,19,0.975,0
0,0.556,2.96,0.694,2.96,1.22,10,0.976,1
0,0.594,3.99,0.761,3.99,1.36,3,0.975,0
1,0.667,3.37,0.754,3.37,1.31,3,0.983,1
1,0.63,3.51,0.781,3.51,1.31,6,0.984,1
0,0.61,3.19,0.716,3.19,1.2,16,0.98,0
0,0.617,3.63,0.788,3.63,1.3,13,0.98,1
1,0.605,3.22,0.753,3.22,1.24,13,0.98,0
0,0.613,3.18,0.718,3.18,1.23,11,0.982,1
1,0.586,3.12,0.74,3.12,1.25,10,0.978,0
1,0.605,3.42,0.746,3.42,1.29,10,0.981,1
0,0.642,3.28,0.755,3.28,1.22,10,0.979,0
1,0.562,0.27,0.726,3.46,1.32,8,0.979,1
0,0.599,0.286,0.758,3.84,1.34,15,0.977,0
1,0.632,0.262,0.697,3.01,1.21,13,0.979,1
0,0.607,0.267,0.707,2.9,1.18,5,0.984,0
1,0.568,0.264,0.697,3.37,1.31,14,0.983,1
0,0.586,0.279,0.789,3.99,1.38,12,0.979,0
0,0.605,0.269,0.761,3.64,1.31,5,0.981,1
1,0.556,0.249,0.702,3.35,1.3,13,0.975,0
1,0.642,0.259,0.688,3.48,1.29,12,0.976,0
0,0.568,0.271,0.774,3.49,1.26,16,0.978,1
0,0.562,0.252,0.714,3.49,1.3,10,0.98,1
1,0.623,0.264,0.714,3.11,1.23,15,0.983,0
0,0.667,0.271,0.761,3.93,1.36,16,0.979,0
1,0.59,0.263,0.74,3.11,1.22,8,0.978,1
0,0.525,0.261,0.758,4.67,1.42,21,0.983,1
1,0.586,0.263,0.718,3.94,1.38,16,0.983,0
1,0.584,0.248,0.657,2.96,1.15,7,0.978,1
0,0.642,0.263,0.736,3.44,1.3,13,0.984,0
0,0.611,0.261,0.712,3.13,1.24,13,0.978,1
1,0.568,0.25,0.706,3.3,1.23,11,0.982,0
1,0.562,0.265,0.724,3.39,1.29,19,0.982,1
0,0.636,0.254,0.727,3.18,1.22,14,0.986,0
1,0.586,0.258,0.722,3.49,1.23,14,0.979,0
0,0.58,0.28,0.764,3.69,1.3,12,0.985,1
0,0.593,0.263,0.747,3.92,1.31,15,0.985,1
1,0.605,0.254,0.703,3.14,1.24,13,0.983,0
0,0.586,0.279,0.789,4.22,1.43,6,0.982,1
1,0.599,0.274,0.777,3.97,1.35,12,0.975,0
1,0.625,0.25,0.735,3.44,1.25,8,0.983,1
0,0.694,0.291,0.839,3.83,1.31,11,0.983,0
1,0.568,0.27,0.765,3.54,1.24,11,0.98,0
0,0.593,0.288,0.796,4.65,1.44,17,0.984,1
0,0.568,0.286,0.825,4.73,1.48,8,0.983,0
1,0.534,0.259,0.741,3.83,1.38,7,0.98,1
0,0.704,0.288,0.825,3.82,1.25,12,0.984,1
1,0.605,0.253,0.739,3.63,1.3,17,0.983,0
0,0.605,0.282,0.819,4.13,1.38,19,0.982,1
1,0.636,0.277,0.777,3.63,1.3,11,0.982,0
0,0.54,0.277,0.804,4.76,1.43,13,0.981,1
1,0.58,0.263,0.776,4.16,1.36,8,0.98,0
1,0.568,0.267,0.783,3.87,1.24,12,0.986,1
0,0.594,0.267,0.769,4.02,1.31,21,0.982,0
0,0.611,0.282,0.773,3.69,1.28,7,0.986,1
1,0.59,0.267,0.786,3.54,1.3,7,0.985,0
0,0.562,0.271,0.81,4.02,1.29,13,0.981,0
1,0.623,0.266,0.754,4.04,1.35,11,0.987,1
0,0.605,0.282,0.832,4.18,1.29,21,0.981,1
1,0.648,0.278,0.804,3.75,1.25,9,0.985,0
0,0.611,0.262,0.747,3.61,1.25,9,0.985,1
1,0.549,0.256,0.73,3.51,1.23,6,0.985,0
1,0.516,0.269,0.769,4.54,1.38,8,0.984,1
0,0.586,0.274,0.777,3.84,1.32,6,0.983,0
0,0.593,0.279,0.806,3.87,1.27,10,0.986,1
1,0.552,0.28,0.791,4.32,1.36,9,0.989,0
1,0.568,0.255,0.77,3.88,1.36,5,0.985,1
0,0.599,0.26,0.762,3.82,1.29,10,0.985,0
0,0.636,0.283,0.839,4.26,1.35,11,0.985,1
1,0.574,0.258,0.781,4.16,1.35,10,0.987,0
1,0.568,0.257,0.729,3.36,1.27,6,0.988,1
0,0.556,0.276,0.757,3.93,1.31,8,0.982,0
0,0.556,0.283,0.8,3.79,1.24,9,0.981,0
1,0.593,0.273,0.766,3.74,1.31,10,0.982,1
1,0.58,0.269,0.724,3.68,1.27,5,0.981,1
0,0.543,0.268,0.757,3.75,1.29,14,0.983,0
