@RELATION idea1test

@ATTRIBUTE league	{0,1}
@ATTRIBUTE winpercentage 	Continuous
@ATTRIBUTE battavg 	Continuous
@ATTRIBUTE ops	Continuous
@ATTRIBUTE era	Continuous
@ATTRIBUTE whip	Continuous
@ATTRIBUTE pb	Continuous
@ATTRIBUTE fpct	Continuous
@ATTRIBUTE won 	Continuous

% 22 instances total

@DATA
1,0.568,0.255,0.77,3.88,1.36,5,0.985,1
0,0.599,0.26,0.762,3.82,1.29,10,0.985,0
0,0.636,0.283,0.839,4.26,1.35,11,0.985,1
1,0.574,0.258,0.781,4.16,1.35,10,0.987,0
1,0.568,0.257,0.729,3.36,1.27,6,0.988,1
0,0.556,0.276,0.757,3.93,1.31,8,0.982,0
0,0.556,0.283,0.8,3.79,1.24,9,0.981,0
1,0.593,0.273,0.766,3.74,1.31,10,0.982,1
1,0.58,0.269,0.724,3.68,1.27,5,0.981,1
0,0.543,0.268,0.757,3.75,1.29,14,0.983,0
1,0.599,0.269,0.733,3.42,1.24,6,0.988,0
0,0.599,0.277,0.795,3.79,1.3,15,0.987,1
1,0.543,0.255,0.699,3.5,1.17,11,0.984,1
0,0.549,0.263,0.79,4.01,1.26,6,0.983,0
0,0.586,0.269,0.734,3.73,1.28,5,0.985,1
1,0.556,0.244,0.712,3.43,1.18,4,0.986,0
1,0.64,0.256,0.772,3.15,1.11,12,0.983,1
0,0.584,0.262,0.759,3.84,1.24,12,0.985,0
0,0.623,0.282,0.823,4.12,1.27,16,0.983,1
1,0.642,0.249,0.771,3.38,1.15,19,0.985,0
0,0.667,0.268,0.792,3.75,1.25,25,0.987,1
1,0.564,0.25,0.774,3.38,1.15,10,0.983,0
