@RELATION idea1test

@ATTRIBUTE league	{0,1}
@ATTRIBUTE winpercentage 	Continuous
@ATTRIBUTE battavg 	Continuous
@ATTRIBUTE ops	Continuous
@ATTRIBUTE era	Continuous
@ATTRIBUTE whip	Continuous
@ATTRIBUTE pb	Continuous
@ATTRIBUTE fpct	Continuous
@ATTRIBUTE won 	Continuous

@DATA
0,0.659,0.272,0.705,2.57,1.12,26,0.961,1
1,0.65,0.286,0.734,2.91,1.28,25,0.952,0
1,0.686,0.273,0.719,2.39,1.12,24,0.963,1
0,0.622,0.255,0.654,2.19,1.11,21,0.957,0
0,0.616,0.23,0.588,2.13,1.07,19,0.963,1
1,0.763,0.262,0.638,2.6,1.05,14,0.967,0
1,0.704,0.25,0.628,1.44,1.06,6,0.968,1
0,0.613,0.266,0.648,2.33,1.21,26,0.957,0
1,0.643,0.249,0.632,2.14,1.1,12,0.968,1
0,0.588,0.263,0.659,2.4,1.19,7,0.951,0
0,0.645,0.267,0.667,2.26,1.14,6,0.958,1
1,0.724,0.26,0.68,2.07,1.07,10,0.963,0
0,0.68,0.266,0.681,1.79,1.09,10,0.963,1
1,0.675,0.268,0.71,2.51,1.19,15,0.962,0
0,0.669,0.296,0.754,3.01,1.33,14,0.963,1
1,0.647,0.279,0.748,2.69,1.2,14,0.96,0
0,0.691,0.277,0.735,2.76,1.2,20,0.958,1
1,0.682,0.286,0.755,2.58,1.23,18,0.956,0
0,0.627,0.28,0.732,3.19,1.28,13,0.967,1
1,0.664,0.273,0.699,2.42,1.05,14,0.96,0
1,0.614,0.251,0.658,2.74,1.23,17,0.965,1
0,0.651,0.272,0.699,2.78,1.27,25,0.966,0
0,0.669,0.26,0.676,2.39,1.15,22,0.964,1
1,0.592,0.247,0.656,2.17,1.09,13,0.967,0
0,0.591,0.248,0.635,2.48,1.19,14,0.972,1
1,0.61,0.261,0.658,2.12,1.1,19,0.964,0
0,0.649,0.253,0.655,2.16,1.16,10,0.964,1
1,0.636,0.261,0.66,2.27,1.09,7,0.969,0
0,0.595,0.249,0.649,2.31,1.17,9,0.972,1
1,0.651,0.265,0.667,2.18,1.12,12,0.965,0
1,0.686,0.263,0.669,2.23,1.1,16,0.974,1
0,0.629,0.287,0.731,3.04,1.25,6,0.972,0
0,0.636,0.303,0.793,3.41,1.34,9,0.971,1
1,0.604,0.277,0.691,2.62,1.2,19,0.965,0
