@RELATION idea1train

@ATTRIBUTE league	{0,1}
@ATTRIBUTE winpercentage 	Continuous
@ATTRIBUTE battavg 	Continuous
@ATTRIBUTE ops	Continuous
@ATTRIBUTE era	Continuous
@ATTRIBUTE whip	Continuous
@ATTRIBUTE pb	Continuous
@ATTRIBUTE fpct	Continuous
@ATTRIBUTE won 	Continuous

@DATA
0,0.659,0.272,0.705,2.57,1.12,26,0.961,1
1,0.686,0.273,0.719,2.39,1.12,24,0.963,1
0,0.616,0.23,0.588,2.13,1.07,19,0.963,1
1,0.704,0.25,0.628,1.44,1.06,6,0.968,1
1,0.643,0.249,0.632,2.14,1.1,12,0.968,1
0,0.645,0.267,0.667,2.26,1.14,6,0.958,1
0,0.68,0.266,0.681,1.79,1.09,10,0.963,1
0,0.669,0.296,0.754,3.01,1.33,14,0.963,1
0,0.691,0.277,0.735,2.76,1.2,20,0.958,1
0,0.627,0.28,0.732,3.19,1.28,13,0.967,1
1,0.614,0.251,0.658,2.74,1.23,17,0.965,1
0,0.669,0.26,0.676,2.39,1.15,22,0.964,1
0,0.591,0.248,0.635,2.48,1.19,14,0.972,1
0,0.649,0.253,0.655,2.16,1.16,10,0.964,1
0,0.595,0.249,0.649,2.31,1.17,9,0.972,1
1,0.686,0.263,0.669,2.23,1.1,16,0.974,1
0,0.636,0.303,0.793,3.41,1.34,9,0.971,1
1,0.614,0.298,0.781,3.55,1.31,8,0.971,1
1,0.604,0.305,0.79,3.45,1.32,16,0.972,1
0,0.645,0.291,0.78,3.62,1.34,21,0.978,1
0,0.597,0.294,0.75,3.34,1.33,5,0.973,1
1,0.621,0.307,0.818,3.87,1.41,13,0.965,1
1,0.578,0.286,0.763,3.67,1.3,5,0.969,1
0,0.714,0.307,0.872,3.2,1.3,6,0.971,1
0,0.656,0.295,0.815,3.74,1.39,9,0.965,1
0,0.693,0.295,0.815,3.44,1.37,10,0.973,1
0,0.662,0.294,0.821,4.28,1.42,11,0.975,1
1,0.656,0.286,0.753,3.45,1.39,6,0.975,1
0,0.695,0.286,0.83,3.98,1.41,10,0.971,1
1,0.599,0.263,0.673,2.71,1.19,12,0.972,1
1,0.621,0.288,0.762,3.69,1.35,8,0.972,1
