
@RELATION Differences

@ATTRIBUTE WP continuous
@ATTRIBUTE BA continuous
@ATTRIBUTE OBP continuous
@ATTRIBUTE ERA continuous
@ATTRIBUTE WHIP continuous
@ATTRIBUTE PB continuous
@ATTRIBUTE FPCT continuous
@ATTRIBUTE Winner {0,1}

@DATA
0.026,0.012,0.02,0.06,0.16,0,-0.005,0
0.091,-0.016,-0.02,-0.89,-0.15,-20,0.011,0
0.059,0.008,-0.017,-0.31,-0.03,2,0.001,0
0.006,-0.022,-0.042,-0.2,-0.07,2,-0.006,1
0.006,0.008,0.091,0.51,0.09,-5,-0.001,1
0.074,-0.012,-0.086,-0.01,0.03,-4,-0.002,1
0.018,0.015,0.092,0.62,0.07,-2,-0.004,1
-0.031,-0.009,-0.075,-0.33,-0.1,-7,0.007,0
0.018,0.011,0.046,0.45,-0.06,0,0.002,0
0.026,0.012,0.064,0.9,0.03,-6,0.002,1
0.031,0.005,-0.008,-0.06,-0.07,5,0,1
0.017,0.63,0.038,0.63,0.12,-8,0.003,1
0.046,-0.007,-0.039,-0.5,-0.09,-9,-0.004,1
0.031,-0.005,-0.042,-0.5,-0.08,-8,0,1
-0.035,-0.012,-0.038,-0.37,-0.08,2,-0.006,0
-0.027,-0.002,-0.057,-0.27,-0.11,-5,0.003,0
-0.047,-0.006,-0.022,-0.37,-0.03,1,0.001,0
0.019,-0.001,-0.023,-0.36,-0.05,8,-0.005,0
0,-0.2471,-0.011,-0.11,0.15,-6,-0.005,0
0.02,0.002,0.058,0.7,0.08,12,0.001,0
-0.071,-0.02,-0.069,-0.02,0.01,-2,0.002,1
0.074,0.02,0.049,0.02,-0.04,9,-0.001,1
-0.043,-0.011,-0.006,0.17,-0.01,-2,0.004,1
0,-0.008,-0.062,-0.37,-0.06,-9,0.001,1
-0.033,0.002,0.04,0.56,0.14,-7,0.011,0
-0.056,-0.016,-0.018,0.13,0.05,-3,0.007,0
-0.013,-0.003,-0.043,-0.19,-0.1,-5,0.003,0
0.04,-0.014,-0.028,-0.6,-0.07,-5,-0.001,1
-0.037,-0.021,-0.041,-0.04,-0.04,-8,-0.001,0
0.072,0.009,0.077,0.04,0.01,-11,0.005,0
0.012,0.009,-0.008,0.08,0.06,-5,0.004,0
0.039,0.014,0.037,0.36,0.07,0,-0.008,0
-0.012,-0.41,-0.035,-0.41,-0.06,0,0,1
0.032,0.026,0.102,0.79,0.14,-10,0.006,0
0.045,0.017,0.077,0.65,0.16,1,0.006,0
-0.147,-0.032,-0.05,-0.47,0.02,5,-0.004,0
0.046,0.023,0.012,-0.36,0,2,0.002,1
-0.049,-0.02,-0.059,-0.29,-0.01,8,-0.006,1
0.013,-0.016,0.012,0.03,0.06,4,-0.002,1
-0.079,0.007,-0.013,0.19,0.07,-4,-0.005,0
0.064,0.018,0.065,0.2,0.01,3,0.006,0
0.024,-0.004,0.008,-0.28,-0.01,14,0.005,0
0.037,-0.56,-0.027,-0.56,-0.15,2,0.005,0
0.012,-0.009,-0.044,-0.78,-0.07,-2,-0.002,1
-0.006,0.018,0.026,0.06,0.01,-1,-0.005,0
0.043,-0.004,-0.028,-0.43,-0.04,-12,0.004,1
-0.027,-0.06,0.022,-0.06,0.02,-1,-0.004,1
-0.019,-0.013,-0.023,0.36,0.09,-5,0.008,0
-0.035,-0.001,-0.045,-0.22,0,6,-0.007,0
-0.056,0.16,-0.094,0.16,0.03,-7,-0.004,0
0.069,0.041,0.104,0.39,0.06,3,0,1
0.034,0.027,0.084,0.9,0.1,1,0.003,1
0.005,-0.002,-0.029,-0.72,-0.1,-5,0.001,0
-0.061,0.005,0.056,-0.02,-0.06,2,-0.006,1
-0.015,0.003,0.032,0.17,-0.05,7,-0.007,0
0.061,0.012,0,-0.38,-0.07,5,0.003,1
-0.062,-0.025,-0.058,-0.1,0,-1,0.002,1
0.013,-0.008,-0.005,-0.11,0.07,3,-0.005,0
-0.037,-0.001,0.033,0.07,0.02,9,0.002,1
-0.103,-0.018,-0.018,-0.37,-0.1,-15,-0.004,1
0.019,-0.001,-0.022,-0.47,-0.09,7,-0.001,1
0.07,0.019,0.132,0.71,0.19,2,0,0
0.026,0,-0.014,0.15,0.07,9,-0.004,1
0.076,0.005,0.088,0.22,0.1,1,0,0
0.061,0.021,0.036,-0.01,-0.09,-6,0.004,1
-0.02,-0.32,-0.065,-0.32,-0.11,10,-0.004,1
0.037,0.016,0.032,0.38,0.02,7,-0.002,1
0.074,-0.011,0.003,-0.21,-0.07,-5,0.004,1
-0.037,0.019,0.012,0.28,0.05,7,-0.009,0
0.077,0.008,0.021,0.82,0.14,8,0.001,1
-0.03,-0.025,-0.022,-0.3,-0.1,-1,0.001,1
-0.037,-0.22,-0.048,-0.22,0,-2,-0.004,1
0.07,-0.02,-0.102,-0.96,-0.24,3,0.012,0
-0.041,0.001,-0.015,0.45,0.09,-1,0.003,1
-0.091,0.002,0.011,0.31,0.15,11,-0.004,0
0.02,-0.001,-0.015,-0.41,0.01,0,0.001,0
-0.048,-0.001,-0.036,-0.02,0.07,-4,0.001,0
0.057,-0.024,-0.062,-0.81,-0.15,10,0.002,0
-0.073,0.62,0.007,0.62,0.05,0,-0.008,1
0.065,-0.02,-0.022,-0.11,-0.08,0,0.004,0
0.009,-0.014,-0.029,-0.34,-0.16,1,0.009,0
0.04,-0.31,-0.001,-0.31,-0.12,-1,0.003,1
-0.011,-0.006,-0.04,-0.28,-0.02,0,-0.001,0
0.048,-0.008,-0.01,-0.72,-0.12,-3,-0.002,0
0.031,0.011,0.004,0.09,0.03,6,-0.002,1
0.065,0.005,0.097,0.54,0.11,0,-0.004,0
0.111,0.008,0.108,0.54,0.09,-7,0,0
0.104,0.023,0.07,-0.5,-0.14,-3,0.01,0
-0.099,-0.035,-0.086,-0.19,0.05,5,-0.001,1
0.077,0.013,0.02,0.22,0.06,9,-0.003,0
-0.037,0.01,0.034,0.05,-0.07,-1,-0.001,1
0.07,0.005,0.008,-0.7,-0.06,-2,-0.001,1
-0.025,-0.018,-0.031,-1.11,-0.2,-6,-0.004,1
0.022,0.017,0.006,0.32,0.13,0,0.003,0
0.019,-0.033,-0.052,-0.74,-0.12,3,0.002,1
0.009,-0.009,-0.02,0.18,-0.03,2,0.002,0
0.061,0.002,-0.04,-0.73,-0.04,-5,0,1
-0.052,-0.024,-0.082,-1.11,-0.15,5,-0.007,0
-0.021,-0.015,0.013,-0.15,0.02,0,-0.001,1
-0.037,0.007,0.033,0.77,0.23,-1,0.007,0
0.007,-0.003,0.013,0.39,0.15,2,0.001,0
0.058,0.015,0.079,0.48,0.15,6,0.006,1
0.055,-0.014,-0.027,-0.26,-0.09,5,0.017,0
-0.012,0.019,0.028,0.57,0.04,2,-0.006,1
0,-0.002,-0.01,-0.01,-0.04,-3,0.002,1
0.013,-0.005,-0.012,-0.25,-0.08,6,-0.007,1
0.104,0.002,0.099,-0.46,-0.01,-7,0.004,0
-0.062,-0.006,-0.017,-0.1,-0.02,-3,0,1
-0.025,0.005,0.01,-0.11,-0.03,-8,0.005,1
0.037,-0.14,0.009,-0.14,-0.07,0,-0.002,1
0.069,-0.007,-0.415,-0.32,-0.05,-10,0.003,0
-0.056,0.006,-0.013,0.69,0.13,0,0.002,1
-0.01,0.005,-0.004,-0.39,0.01,-8,-0.002,0
-0.031,-0.007,-0.004,0.16,-0.05,0,-0.008,1
