@relation worldSeries
% for the following attributes, there are 2 of each
% each attribute corresponds to one of the competing teams
@attribute league           {0,1}
@attribute league           {0,1}
@attribute winPercentage    REAL
@attribute winPercentage    REAL
@attribute battingAvg       REAL
@attribute battingAvg       REAL
@attribute ops              REAL
@attribute ops              REAL
@attribute era              REAL
@attribute era              REAL
@attribute whip             REAL
@attribute whip             REAL
@attribute pb               REAL
@attribute pb               REAL
@attribute fpct             REAL
@attribute fpct             REAL
@attribute champion         {0,1}


@data
1,0,0.659,0.65,0.272,0.286,0.705,0.734,2.57,2.91,1.12,1.28,26,25,0.961,0.952,0
0,1,0.686,0.622,0.273,0.255,0.719,0.654,2.39,2.19,1.12,1.11,24,21,0.963,0.957,0
1,0,0.616,0.763,0.23,0.262,0.588,0.638,2.13,2.6,1.07,1.05,19,14,0.963,0.967,0
0,1,0.704,0.613,0.25,0.266,0.628,0.648,1.44,2.33,1.06,1.21,6,26,0.968,0.957,0
0,1,0.643,0.588,0.249,0.263,0.632,0.659,2.14,2.4,1.1,1.19,12,7,0.968,0.951,0
1,0,0.645,0.724,0.267,0.26,0.667,0.68,2.26,2.07,1.14,1.07,6,10,0.958,0.963,0
1,0,0.68,0.675,0.266,0.268,0.681,0.71,1.79,2.51,1.09,1.19,10,15,0.963,0.962,0
1,0,0.669,0.647,0.296,0.279,0.754,0.748,3.01,2.69,1.33,1.2,14,14,0.963,0.96,0
1,0,0.691,0.682,0.277,0.286,0.735,0.755,2.76,2.58,1.2,1.23,20,18,0.958,0.956,0
1,0,0.627,0.664,0.28,0.273,0.732,0.699,3.19,2.42,1.28,1.05,13,14,0.967,0.96,0
0,1,0.614,0.651,0.251,0.272,0.658,0.699,2.74,2.78,1.23,1.27,17,25,0.965,0.966,0
1,0,0.669,0.592,0.26,0.247,0.676,0.656,2.39,2.17,1.15,1.09,22,13,0.964,0.967,0
1,0,0.591,0.61,0.248,0.261,0.635,0.658,2.48,2.12,1.19,1.1,14,19,0.972,0.964,0
1,0,0.649,0.636,0.253,0.261,0.655,0.66,2.16,2.27,1.16,1.09,10,7,0.964,0.969,0
1,0,0.595,0.651,0.249,0.265,0.649,0.667,2.31,2.18,1.17,1.12,9,12,0.972,0.965,0
0,1,0.686,0.629,0.263,0.287,0.669,0.731,2.23,3.04,1.1,1.25,16,6,0.974,0.972,0
1,0,0.636,0.604,0.303,0.277,0.793,0.691,3.41,2.62,1.34,1.2,9,19,0.971,0.965,0
0,1,0.614,0.641,0.298,0.3,0.781,0.838,3.55,3.82,1.31,1.42,8,13,0.971,0.968,0
0,1,0.604,0.61,0.305,0.287,0.79,0.764,3.45,3.39,1.32,1.31,16,17,0.972,0.977,0
1,0,0.645,0.621,0.291,0.295,0.78,0.772,3.62,3.9,1.34,1.35,21,7,0.978,0.973,0
1,0,0.597,0.608,0.294,0.3,0.75,0.79,3.34,3.62,1.33,1.35,5,5,0.973,0.974,0
0,1,0.621,0.636,0.307,0.304,0.818,0.786,3.87,3.7,1.41,1.46,13,6,0.965,0.972,0
0,1,0.578,0.591,0.286,0.289,0.763,0.806,3.67,3.86,1.3,1.4,5,10,0.969,0.966,0
1,0,0.714,0.61,0.307,0.305,0.872,0.773,3.2,3.66,1.3,1.31,6,13,0.971,0.967,0
1,0,0.656,0.617,0.295,0.281,0.815,0.778,3.74,3.38,1.39,1.32,9,9,0.965,0.973,0
1,0,0.693,0.645,0.295,0.303,0.815,0.825,3.44,4.16,1.37,1.49,10,13,0.973,0.975,0
1,0,0.662,0.597,0.294,0.314,0.821,0.843,4.28,4.39,1.42,1.5,11,11,0.975,0.971,0
0,1,0.656,0.704,0.286,0.287,0.753,0.789,3.45,3.47,1.39,1.32,6,10,0.975,0.974,0
1,0,0.695,0.584,0.286,0.278,0.83,0.722,3.98,3.44,1.41,1.32,10,17,0.971,0.971,0
0,1,0.599,0.651,0.263,0.287,0.673,0.755,2.71,3.82,1.19,1.34,12,7,0.972,0.979,0
0,1,0.621,0.656,0.288,0.3,0.762,0.8,3.69,4.06,1.35,1.43,8,6,0.972,0.978,0
1,0,0.616,0.649,0.29,0.288,0.801,0.761,3.82,3.26,1.44,1.3,6,13,0.981,0.97,0
1,0,0.667,0.597,0.3,0.281,0.864,0.732,4.17,3.46,1.53,1.34,7,5,0.973,0.973,0
1,0,0.662,0.586,0.283,0.278,0.825,0.737,3.65,3.43,1.38,1.28,7,6,0.974,0.974,0
1,0,0.651,0.586,0.274,0.269,0.812,0.715,3.91,3.37,1.45,1.34,11,11,0.973,0.977,0
1,0,0.702,0.63,0.287,0.278,0.825,0.748,3.31,3.27,1.32,1.31,8,19,0.977,0.972,0
0,1,0.654,0.584,0.266,0.286,0.706,0.808,3.05,4.01,1.21,1.45,11,8,0.98,0.968,0
1,0,0.656,0.649,0.269,0.272,0.765,0.752,3.53,3.14,1.37,1.22,8,6,0.974,0.973,0
0,1,0.688,0.669,0.268,0.269,0.717,0.74,2.55,2.91,1.18,1.23,12,4,0.97,0.975,0
0,1,0.682,0.578,0.275,0.252,0.745,0.675,2.67,3.17,1.19,1.33,9,12,0.98,0.97,0
0,1,0.628,0.675,0.265,0.271,0.334,0.356,3.01,3.38,1.3,1.33,10,9,0.979,0.978,0
1,0,0.63,0.61,0.271,0.272,0.349,0.364,3.39,3.8,1.35,1.34,11,11,0.98,0.979,0
1,0,0.63,0.63,0.0269,0.274,0.762,0.773,3.69,3.8,1.49,1.34,5,11,0.976,0.981,0
1,0,0.636,0.591,0.282,0.265,0.807,0.73,4.15,3.5,1.48,1.32,7,6,0.98,0.974,0
1,0,0.636,0.624,0.269,0.26,0.757,0.765,3.56,3.48,1.35,1.29,4,9,0.974,0.97,0
1,0,0.617,0.627,0.267,0.262,0.744,0.748,3.14,3.53,1.32,1.31,5,13,0.978,0.98,0
0,1,0.63,0.721,0.264,0.262,0.755,0.744,3.09,2.78,1.35,1.2,17,6,0.973,0.977,0
0,1,0.641,0.623,0.271,0.26,0.804,0.758,3.68,3.23,1.29,1.35,5,5,0.978,0.976,0
1,0,0.63,0.604,0.27,0.258,0.781,0.761,3.63,3.57,1.4,1.24,9,9,0.977,0.982,0
1,0,0.673,0.604,0.263,0.27,0.33,0.745,3.46,3.78,1.26,1.31,13,23,0.98,0.977,0
