@relation worldSeries
% each attribute in the data set is a ratio of the data for the 2 competing world series teams

@attribute winPercentage    REAL
@attribute battingAvg       REAL
@attribute ops              REAL
@attribute era              REAL
@attribute whip             REAL
@attribute pb               REAL
@attribute fpct             REAL
@attribute champion         {0,1}


@data
1.013846154,0.951048951,0.9604904632,0.883161512,0.875,1.04,1.009453782,0
1.102893891,1.070588235,1.099388379,1.091324201,1.009009009,1.142857143,1.006269592,0
0.8073394495,0.8778625954,0.921630094,0.8192307692,1.019047619,1.357142857,0.9958634953,0
1.148450245,0.9398496241,0.9691358025,0.6180257511,0.8760330579,0.2307692308,1.011494253,0
1.093537415,0.9467680608,0.9590288316,0.8916666667,0.9243697479,1.714285714,1.01787592,0
0.8908839779,1.026923077,0.9808823529,1.09178744,1.065420561,0.6,0.994807892,0
1.007407407,0.9925373134,0.9591549296,0.7131474104,0.9159663866,0.6666666667,1.001039501,0
1.034003091,1.0609319,1.00802139,1.118959108,1.108333333,1,1.003125,0
1.013196481,0.9685314685,0.9735099338,1.069767442,0.9756097561,1.111111111,1.00209205,0
0.9442771084,1.025641026,1.0472103,1.318181818,1.219047619,0.9285714286,1.007291667,0
0.9431643625,0.9227941176,0.9413447783,0.9856115108,0.968503937,0.68,0.9989648033,0
1.130067568,1.052631579,1.030487805,1.101382488,1.055045872,1.692307692,0.9968976215,0
0.968852459,0.9501915709,0.9650455927,1.169811321,1.081818182,0.7368421053,1.008298755,0
1.020440252,0.969348659,0.9924242424,0.9515418502,1.064220183,1.428571429,0.9948400413,0
0.9139784946,0.9396226415,0.9730134933,1.059633028,1.044642857,0.75,1.007253886,0
1.090620032,0.9163763066,0.9151846785,0.7335526316,0.88,2.666666667,1.002057613,0
1.052980132,1.093862816,1.147612156,1.301526718,1.116666667,0.4736842105,1.006217617,0
0.9578783151,0.9933333333,0.9319809069,0.9293193717,0.9225352113,0.6153846154,1.003099174,0
0.9901639344,1.06271777,1.034031414,1.017699115,1.007633588,0.9411764706,0.9948822927,0
1.038647343,0.986440678,1.010362694,0.9282051282,0.9925925926,3,1.005138746,0
0.9819078947,0.98,0.9493670886,0.9226519337,0.9851851852,1,0.998973306,0
0.9764150943,1.009868421,1.040712468,1.045945946,0.9657534247,2.166666667,0.9927983539,0
0.9780033841,0.9896193772,0.9466501241,0.9507772021,0.9285714286,0.5,1.00310559,0
1.170491803,1.006557377,1.128072445,0.8743169399,0.9923664122,0.4615384615,1.004136505,0
1.063209076,1.049822064,1.047557841,1.106508876,1.053030303,1,0.9917780062,0
1.074418605,0.9735973597,0.9878787879,0.8269230769,0.9194630872,0.7692307692,0.9979487179,0
1.108877722,0.9363057325,0.9739027284,0.9749430524,0.9466666667,1,1.004119464,0
0.9318181818,0.9965156794,0.9543726236,0.9942363112,1.053030303,0.6,1.001026694,0
